"EWZ.Open" "EWZ.High" "EWZ.Low" "EWZ.Close" "EWZ.Volume" "EWZ.Adjusted"
"2007-09-13" 63.849998 64.959999 63.740002 64.18 8306500 48.475911
"2007-09-14" 64.230003 65.269997 63.43 64.099998 9673100 48.415484
"2007-09-17" 63.369999 65.599998 62.360001 62.919998 7524300 47.524216
"2007-09-18" 64.260002 68.029999 63.849998 67.629997 16337600 51.081734
"2007-09-19" 69.190002 69.730003 68 68.32 14367100 51.602901
"2007-09-20" 68.650002 69.379997 67.129997 67.779999 11335700 51.195032
"2007-09-21" 69.059998 69.639999 68.889999 69.32 7162000 52.358213
"2007-09-24" 70.010002 70.830002 69.690002 70.830002 10983900 53.498735
"2007-09-25" 69.93 71.25 69.300003 71.25 8492100 53.815965
"2007-09-26" 72.309998 73.139999 71.849998 72.699997 10188300 54.911165
"2007-09-27" 73.75 74.580002 73.050003 74.580002 10980200 56.331154
"2007-09-28" 74.5 74.730003 73.529999 73.550003 10059400 55.553184
"2007-10-01" 74.639999 77.650002 74.610001 77.349998 12425400 58.423366
"2007-10-02" 76.870003 77.330002 75.290001 76.68 14533400 57.917308
"2007-10-03" 76.540001 76.720001 73.150002 73.360001 13474900 55.409673
"2007-10-04" 74.300003 75.239998 72.260002 74.150002 10443900 56.00637
"2007-10-05" 76.010002 78.220001 75.610001 77.68 13846800 58.67262
